Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62831)
rand_mask=b'U-\x8e\xb6\xc8\xfd\x06y'
masked_addr=b'UI,\x15\xc9\xfd\x06y'
target_addr=0064a2a301000000
lowest_message_bit=14
key 0
110: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
111: expect=-2, actual=np.int64(2), [0.000, 0.000, 0.000, 0.019, 0.120, 0.850, 0.011], checks for var: 14
112: expect=1, actual=np.int64(0), [0.015, 0.020, 0.005, 0.939, 0.011, 0.009, 0.001], checks for var: 12
113: expect=1, actual=np.int64(-1), [0.000, 0.000, 0.707, 0.292, 0.000, 0.000, 0.000], checks for var: 14
114: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 15
116: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
117: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
118: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
120: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 15
121: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
122: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 12
124: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 11
125: expect=0, actual=np.int64(-2), [0.084, 0.498, 0.415, 0.003, 0.000, 0.000, 0.000], checks for var: 13
126: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
127: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.996, 0.004, 0.000, 0.000], checks for var: 11
129: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 9
130: expect=-3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000], checks for var: 10
131: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
132: expect=1, actual=np.int64(-1), [0.000, 0.001, 0.627, 0.372, 0.000, 0.000, 0.000], checks for var: 12
133: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.005, 0.915, 0.068, 0.011], checks for var: 9
134: expect=-2, actual=np.int64(0), [0.000, 0.001, 0.002, 0.997, 0.001, 0.000, 0.000], checks for var: 9
135: expect=-1, actual=np.int64(0), [0.011, 0.003, 0.239, 0.747, 0.000, 0.000, 0.000], checks for var: 15
136: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.700, 0.282, 0.015, 0.003], checks for var: 11
138: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
139: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
140: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.934, 0.064, 0.001, 0.000], checks for var: 10
142: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.994, 0.005, 0.000, 0.000], checks for var: 12
143: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.964, 0.035, 0.001, 0.000], checks for var: 11
144: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
145: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 15
146: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.989, 0.010, 0.000, 0.000], checks for var: 10
147: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
148: expect=-2, actual=np.int64(0), [0.000, 0.001, 0.009, 0.990, 0.000, 0.000, 0.000], checks for var: 10
149: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.048, 0.000, 0.951, 0.001], checks for var: 15
150: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 17
151: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 10
152: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 12
154: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
157: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.459, 0.539, 0.002, 0.000], checks for var: 16
158: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.006, 0.004, 0.990, 0.000], checks for var: 13
159: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.991, 0.009, 0.000, 0.000], checks for var: 16
160: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 13
