Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
94: expect=1, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
96: expect=0, actual=np.int64(-2), [0.018, 0.982, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
98: expect=-2, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.180, 0.419, 0.402], checks for var: 19
99: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.990, 0.010], checks for var: 19
100: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
102: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.986, 0.013, 0.000, 0.000, 0.000], checks for var: 19
103: expect=1, actual=np.int64(0), [0.000, 0.001, 0.000, 0.998, 0.000, 0.000, 0.000], checks for var: 20
104: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.064, 0.936, 0.000], checks for var: 18
105: expect=0, actual=np.int64(-3), [1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
106: expect=2, actual=np.int64(0), [0.000, 0.000, 0.002, 0.997, 0.001, 0.000, 0.000], checks for var: 19
107: expect=-1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.010, 0.989], checks for var: 18
108: expect=1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.912, 0.084, 0.001, 0.000], checks for var: 20
109: expect=-2, actual=np.int64(-1), [0.001, 0.267, 0.549, 0.182, 0.001, 0.000, 0.000], checks for var: 19
111: expect=1, actual=np.int64(0), [0.000, 0.035, 0.083, 0.488, 0.395, 0.000, 0.000], checks for var: 19
112: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.996, 0.002, 0.000], checks for var: 19
114: expect=1, actual=np.int64(0), [0.000, 0.000, 0.052, 0.948, 0.000, 0.000, 0.000], checks for var: 20
115: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.963, 0.037, 0.000, 0.000], checks for var: 19
116: expect=-3, actual=np.int64(-1), [0.000, 0.001, 0.989, 0.010, 0.000, 0.000, 0.000], checks for var: 17
117: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.995, 0.005, 0.000, 0.000], checks for var: 20
118: expect=1, actual=np.int64(-1), [0.000, 0.001, 0.998, 0.000, 0.000, 0.000, 0.000], checks for var: 19
119: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.999, 0.001, 0.000], checks for var: 18
120: expect=2, actual=np.int64(-2), [0.008, 0.992, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
121: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
122: expect=1, actual=np.int64(-2), [0.053, 0.859, 0.088, 0.000, 0.000, 0.000, 0.000], checks for var: 19
123: expect=2, actual=np.int64(-2), [0.024, 0.976, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
124: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.004, 0.212, 0.775, 0.009], checks for var: 19
